,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Popularity
22423,One Sweet Day,Mariah Carey & Boyz II Men (1996),27,16,1996,0.59
23348,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber (2018),51,16,2018,0.31
22685,I Will Always Love You,Whitney Houston (2012),29,14,2012,0.48
22947,I'll Make Love To You,Boyz II Men (1995),33,14,1995,0.42
23236,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John (1998),42,14,1998,0.33
23261,We Belong Together,Mariah Carey (2006),43,14,2006,0.33
23379,Uptown Funk!,Mark Ronson Featuring Bruno Mars (2016),56,14,2016,0.25
23383,I Gotta Feeling,The Black Eyed Peas (2010),56,14,2010,0.25
23397,Macarena (Bayside Boys Mix),Los Del Rio (1997),60,14,1997,0.23
21056,Jump,Van Halen (1984),21,13,1984,0.62
22376,The Boy Is Mine,Brandy & Monica (1998),27,13,1998,0.48
22920,"End Of The Road (From ""Boomerang"")",Boyz II Men (1993),32,13,1993,0.41
21625,Lose Yourself,Eminem (2003),23,12,2003,0.52
22304,Hello,Adele (2016),26,12,2016,0.46
22967,Boom Boom Pow,The Black Eyed Peas (2009),33,12,2009,0.36
23282,Yeah!,Usher Featuring Lil Jon & Ludacris (2004),45,12,2004,0.27
23317,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell (2014),48,12,2014,0.25
23355,See You Again,Wiz Khalifa Featuring Charlie Puth (2016),52,12,2016,0.23
23356,Closer,The Chainsmokers Featuring Halsey (2017),52,12,2017,0.23
23390,Smooth,Santana Featuring Rob Thomas (2000),58,12,2000,0.21
23393,Shape Of You,Ed Sheeran (2018),58,12,2018,0.21
15893,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus (2019),15,11,2019,0.73
22585,Independent Women Part I,Destiny's Child (2001),28,11,2001,0.39
22754,I Swear,All-4-One (1994),30,11,1994,0.37
22943,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112 (1998),33,11,1998,0.33
23071,God's Plan,Drake (2018),36,11,2018,0.31
23231,One More Night,Maroon 5 (2013),42,11,2013,0.26
23244,Un-Break My Heart,Toni Braxton (1997),42,11,1997,0.26
21315,In My Feelings,Drake (2018),22,10,2018,0.45
22086,You Light Up My Life,Debby Boone (1978),25,10,1978,0.4
22261,Maria Maria,Santana Featuring The Product G&B (2000),26,10,2000,0.38
22349,Physical,Olivia Newton-John (1982),26,10,1982,0.38
22720,Dilemma,Nelly Featuring Kelly Rowland (2003),29,10,2003,0.34
22752,Irreplaceable,Beyonce (2007),30,10,2007,0.33
22908,Foolish,Ashanti (2002),32,10,2002,0.31
23078,One Dance,Drake Featuring WizKid & Kyla (2016),36,10,2016,0.28
23162,Gold Digger,Kanye West Featuring Jamie Foxx (2006),39,10,2006,0.26
23180,Low,Flo Rida Featuring T-Pain (2008),40,10,2008,0.25
23211,We Found Love,Rihanna Featuring Calvin Harris (2012),41,10,2012,0.24
23304,Happy,Pharrell Williams (2014),47,10,2014,0.21
18585,Hey Jude,The Beatles (1969),19,9,1969,0.47
21180,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra (1960),21,9,1960,0.43
21748,Candy Shop,50 Cent Featuring Olivia (2005),23,9,2005,0.39
22275,Mack The Knife,Bobby Darin (1960),26,9,1960,0.35
22354,Bette Davis Eyes,Kim Carnes (1981),26,9,1981,0.35
22446,Endless Love,Diana Ross & Lionel Richie (1982),27,9,1982,0.33
22697,My Love,Justin Timberlake Featuring T.I. (2007),29,9,2007,0.31
22711,Baby Boy,Beyonce Featuring Sean Paul (2004),29,9,2004,0.31
22763,In Da Club,50 Cent (2003),30,9,2003,0.3
22910,Hey Ya!,OutKast (2004),32,9,2004,0.28
23050,Work,Rihanna Featuring Drake (2016),36,9,2016,0.25
23075,Let Me Love You,Mario (2005),36,9,2005,0.25
23122,TiK ToK,Ke$ha (2010),38,9,2010,0.24
23215,Family Affair,Mary J. Blige (2002),41,9,2002,0.22
23269,Royals,Lorde (2014),44,9,2014,0.2
23335,Call Me Maybe,Carly Rae Jepsen (2013),50,9,2013,0.18
19172,Honey,Mariah Carey (1998),20,8,1998,0.4
19745,Night Fever,Bee Gees (1978),20,8,1978,0.4
20358,Tha Crossroads,Bone Thugs-N-Harmony (1996),20,8,1996,0.4
20942,7 Rings,Ariana Grande (2019),21,8,2019,0.38
21350,Every Breath You Take,The Police (1983),22,8,1983,0.36
21677,That's The Way Love Goes,Janet Jackson (1993),23,8,1993,0.35
21759,Tonight's The Night (Gonna Be Alright),Rod Stewart (1977),23,8,1977,0.35
22132,Nice For What,Drake (2018),25,8,2018,0.32
22144,Fantasy,Mariah Carey (1996),25,8,1996,0.32
22393,Crazy In Love,Beyonce Featuring Jay Z (2003),27,8,2003,0.3
22663,Dreamlover,Mariah Carey (1994),29,8,1994,0.28
22800,Take A Bow,Madonna (1995),30,8,1995,0.27
23072,Burn,Ellie Goulding (2014),36,8,2014,0.22
23311,All About That Bass,Meghan Trainor (2015),47,8,2015,0.17
23325,Rockstar,Nickelback (2008),49,8,2008,0.16
23394,Somebody That I Used To Know,Gotye Featuring Kimbra (2013),59,8,2013,0.14
15469,I Want To Hold Your Hand,The Beatles (1964),15,7,1964,0.47
17543,I Heard It Through The Grapevine,Gladys Knight And The Pips (1968),17,7,1968,0.41
18225,Ebony And Ivory,Paul McCartney And Stevie Wonder (1982),19,7,1982,0.37
19640,I Love Rock 'N Roll,Joan Jett & the Blackhearts (1982),20,7,1982,0.35
19688,I'm A Believer,Smash Mouth (2001),20,7,2001,0.35
20585,Black Or White,Michael Jackson (1992),20,7,1992,0.35
21391,(Everything I Do) I Do It For You,Bryan Adams (1991),22,7,1991,0.32
21602,I Kissed A Girl,Katy Perry (2008),23,7,2008,0.3
21650,Tossin' And Turnin',Bobby Lewis (1961),23,7,1961,0.3
22031,Billie Jean,Michael Jackson (2014),25,7,2014,0.28
22037,Shadow Dancing,Andy Gibb (1978),25,7,1978,0.28
22139,Informer,Snow (1993),25,7,1993,0.28
22172,I'll Be There,The Escape Club (1991),25,7,1991,0.28
22221,Hot In Herre,Nelly (2002),26,7,2002,0.27
22426,Black Beatles,Rae Sremmurd Featuring Gucci Mane (2017),27,7,2017,0.26
22587,Venus,Frankie Avalon (1976),28,7,1976,0.25
22613,"Thank U, Next",Ariana Grande (2019),28,7,2019,0.25
22673,Love The Way You Lie,Eminem Featuring Rihanna (2011),29,7,2011,0.24
22681,This Is How We Do It,Montell Jordan (1995),29,7,1995,0.24
22721,"Can't Help Falling In Love (From ""Sliver"")",UB40 (1993),29,7,1993,0.24
22839,Whatever You Like,T.I. (2009),31,7,2009,0.23
22899,Crank That (Soulja Boy),Soulja Boy Tell'em (2008),32,7,2008,0.22
22938,Umbrella,Rihanna Featuring Jay-Z (2007),33,7,2007,0.21
23005,Waterfalls,TLC (1996),34,7,1996,0.21
23054,SexyBack,Justin Timberlake (2007),36,7,2007,0.19
23058,Blank Space,Taylor Swift (2015),36,7,2015,0.19
23130,Goodies,Ciara Featuring Petey Pablo (2005),38,7,2005,0.18
23161,Fancy,Iggy Azalea Featuring Charli XCX (2014),39,7,2014,0.18
